Nome_Do_Curso;CD_SUBGRUPO;NM_SUBGRUPO;NU_PERGUNTA;Pergunta;Ordem_Opções;Opção;Porcentagem;Respostas;Total_do_Curso
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;15 ;1.15- A quantidade de conteúdo nas aulas síncronas foi:;5958 ;Suficiente;40;6 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;15 ;1.15- A quantidade de conteúdo nas aulas síncronas foi:;5959 ;Insuficiente;"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;15 ;1.15- A quantidade de conteúdo nas aulas síncronas foi:;5960 ;Excessivo;40;6 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;15 ;1.15- A quantidade de conteúdo nas aulas síncronas foi:;5962 ;NSI;"6,7";1 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;16 ;1.16- O tempo destinado à realização de provas e de outros trabalhos foi coerente com a extensão e com a complexidade das questões?;5968 ;"Sim, suficiente";"53,3";8 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;16 ;1.16- O tempo destinado à realização de provas e de outros trabalhos foi coerente com a extensão e com a complexidade das questões?;5969 ;"Não, insuficiente";"33,3";5 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;16 ;1.16- O tempo destinado à realização de provas e de outros trabalhos foi coerente com a extensão e com a complexidade das questões?;5987 ;"Não, excedeu";"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;17 ;"1.17- O tempo de correção das provas e o retorno para os alunos, foi corente?";5986 ;"Sim, no prazo";60;9 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;17 ;"1.17- O tempo de correção das provas e o retorno para os alunos, foi corente?";5988 ;"Não, demorou";40;6 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;18 ;"1.18- Após a correção, você teve livre acesso, de forma virtual, às provas que você realizou?";5972 ;Não solicitei;"73,3";11 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;18 ;"1.18- Após a correção, você teve livre acesso, de forma virtual, às provas que você realizou?";5983 ;Sim;20;3 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;18 ;"1.18- Após a correção, você teve livre acesso, de forma virtual, às provas que você realizou?";5985 ;Não;"6,7";1 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;19 ;1.19- Foi necessária a sua presença fora da sua residência para a realização de atividades ou de avaliações periódicas?;5984 ;Não;100;15 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;20 ;"1.20- Nas aulas síncronas, com diferentes professor, foi realizado intervalo entre as aulas?";5974 ;"Sim, 10 a 20 min.";"86,7";13 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;20 ;"1.20- Nas aulas síncronas, com diferentes professor, foi realizado intervalo entre as aulas?";5976 ;Não houve intervalo;"13,3";2 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;21 ;"1.21-  Nas aulas síncronas, com o mesmo professor, foi realizado intervalo entre as aulas?";5980 ;Não houve intervalo;"86,7";13 ;15 
Estatística;174 ;I. Avaliação discente sobre as disciplinas e os docentes;21 ;"1.21-  Nas aulas síncronas, com o mesmo professor, foi realizado intervalo entre as aulas?";5981 ;"Sim, 10 a 20 min.";"13,3";2 ;15 
Estatística;175 ;III. Autoavaliação;1 ;3.01- Como você avalia a sua participação nas aulas/atividades oferecidas de forma remota?;5800 ;Ótimo;"21,4";3 ;14 
Estatística;175 ;III. Autoavaliação;1 ;3.01- Como você avalia a sua participação nas aulas/atividades oferecidas de forma remota?;5801 ;Bom;"35,7";5 ;14 
Estatística;175 ;III. Autoavaliação;1 ;3.01- Como você avalia a sua participação nas aulas/atividades oferecidas de forma remota?;5922 ;Regular;"21,4";3 ;14 
Estatística;175 ;III. Autoavaliação;1 ;3.01- Como você avalia a sua participação nas aulas/atividades oferecidas de forma remota?;5923 ;Ruim;"7,1";1 ;14 
Estatística;175 ;III. Autoavaliação;1 ;3.01- Como você avalia a sua participação nas aulas/atividades oferecidas de forma remota?;5924 ;Péssimo;"14,3";2 ;14 
Estatística;175 ;III. Autoavaliação;2 ;3.02- Como você avalia a sua atenção nas aulas síncronas?;5802 ;Ótimo;"14,3";2 ;14 
Estatística;175 ;III. Autoavaliação;2 ;3.02- Como você avalia a sua atenção nas aulas síncronas?;5803 ;Bom;"21,4";3 ;14 
Estatística;175 ;III. Autoavaliação;2 ;3.02- Como você avalia a sua atenção nas aulas síncronas?;5925 ;Regular;"42,9";6 ;14 
Estatística;175 ;III. Autoavaliação;2 ;3.02- Como você avalia a sua atenção nas aulas síncronas?;5926 ;Ruim;"7,1";1 ;14 
Estatística;175 ;III. Autoavaliação;2 ;3.02- Como você avalia a sua atenção nas aulas síncronas?;5927 ;Péssimo;"14,3";2 ;14 
Estatística;175 ;III. Autoavaliação;3 ;3.03- Como você avalia a sua aprendizagem nas aulas/atividades oferecidas de forma remota?;5804 ;Ótimo;"7,1";1 ;14 
Estatística;175 ;III. Autoavaliação;3 ;3.03- Como você avalia a sua aprendizagem nas aulas/atividades oferecidas de forma remota?;5805 ;Bom;"7,1";1 ;14 
Estatística;175 ;III. Autoavaliação;3 ;3.03- Como você avalia a sua aprendizagem nas aulas/atividades oferecidas de forma remota?;5928 ;Regular;"42,9";6 ;14 
Estatística;175 ;III. Autoavaliação;3 ;3.03- Como você avalia a sua aprendizagem nas aulas/atividades oferecidas de forma remota?;5929 ;Ruim;"35,7";5 ;14 
Estatística;175 ;III. Autoavaliação;3 ;3.03- Como você avalia a sua aprendizagem nas aulas/atividades oferecidas de forma remota?;5930 ;Péssimo;"7,1";1 ;14 
Estatística;177 ;IV. Avaliação do Instrumento;1 ;4.01- Como você avalia este Instrumento de Consulta?;5846 ;Ótimo.;"21,4";3 ;14 
Estatística;177 ;IV. Avaliação do Instrumento;1 ;4.01- Como você avalia este Instrumento de Consulta?;5847 ;Bom.;"57,1";8 ;14 
Estatística;177 ;IV. Avaliação do Instrumento;1 ;4.01- Como você avalia este Instrumento de Consulta?;5848 ;Regular.;"21,4";3 ;14 
Física;173 ;II. Informações sobre Atividades de Ensino;1 ;"2.01- Se você necessita/necessitou de Atendimento Educacional Especializado, como você avalia o atendimento oferecido pela UEM durante o ERE (Ensino Remoto Emergencial)?";5761 ;Bom;"3,3";1 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;1 ;"2.01- Se você necessita/necessitou de Atendimento Educacional Especializado, como você avalia o atendimento oferecido pela UEM durante o ERE (Ensino Remoto Emergencial)?";5851 ;Ruim;"3,3";1 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;1 ;"2.01- Se você necessita/necessitou de Atendimento Educacional Especializado, como você avalia o atendimento oferecido pela UEM durante o ERE (Ensino Remoto Emergencial)?";5852 ;Não tive atendim.;"13,3";4 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;1 ;"2.01- Se você necessita/necessitou de Atendimento Educacional Especializado, como você avalia o atendimento oferecido pela UEM durante o ERE (Ensino Remoto Emergencial)?";5853 ;Péssimo;"6,7";2 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;1 ;"2.01- Se você necessita/necessitou de Atendimento Educacional Especializado, como você avalia o atendimento oferecido pela UEM durante o ERE (Ensino Remoto Emergencial)?";5855 ;Não necessito;"73,3";22 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;2 ;2.02- Como você avalia a plataforma Classrom para o desenvolvimento das disciplinas?;5856 ;Bom;"33,3";10 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;2 ;2.02- Como você avalia a plataforma Classrom para o desenvolvimento das disciplinas?;5858 ;Regular;10;3 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;2 ;2.02- Como você avalia a plataforma Classrom para o desenvolvimento das disciplinas?;5859 ;Ruim;10;3 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;2 ;2.02- Como você avalia a plataforma Classrom para o desenvolvimento das disciplinas?;5937 ;Ótimo;"46,7";14 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;3 ;"2.03- Para sua aprendizagem, você considera mais adequado atividades:";5774 ;Somente síncronas;20;6 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;3 ;"2.03- Para sua aprendizagem, você considera mais adequado atividades:";5775 ;Somente assíncronas;"16,7";5 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;3 ;"2.03- Para sua aprendizagem, você considera mais adequado atividades:";5861 ;Ambas;"53,3";16 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;3 ;"2.03- Para sua aprendizagem, você considera mais adequado atividades:";5862 ;Não sei avaliar;10;3 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;4 ;"2.04- Neste período de isolamento social, você está precisando acompanhar/cuidar de familiares?";5935 ;Sim;"43,3";13 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;4 ;"2.04- Neste período de isolamento social, você está precisando acompanhar/cuidar de familiares?";5936 ;Não;"56,7";17 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;5 ;2.05- Você solicitou o empréstimo de equipamento(s) de tecnologia(s) e/ou dispositivo de dados de internet disponibilizado pelos editais do Projeto de Inclusão Digital da UEM?;6353 ;Sim;"3,3";1 ;30 
Física;173 ;II. Informações sobre Atividades de Ensino;5 ;2.05- Você solicitou o empréstimo de equipamento(s) de tecnologia(s) e/ou dispositivo de dados de internet disponibilizado pelos editais do Projeto de Inclusão Digital da UEM?;6354 ;Não;"96,7";29 ;30 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;1 ;1.01- Como você avalia as orientações sobre o desenvolvimento da disciplina?;5778 ;Ótimo;"29,3";12 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;1 ;1.01- Como você avalia as orientações sobre o desenvolvimento da disciplina?;5779 ;Bom;"24,4";10 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;1 ;1.01- Como você avalia as orientações sobre o desenvolvimento da disciplina?;5780 ;Regular;"26,8";11 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;1 ;1.01- Como você avalia as orientações sobre o desenvolvimento da disciplina?;5781 ;Ruim;"12,2";5 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;1 ;1.01- Como você avalia as orientações sobre o desenvolvimento da disciplina?;5863 ;Péssimo;"7,3";3 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;2 ;"1.02- Como você avalia a organização da disciplina no Classroom (clareza, acessibilidade, entendimento)?";5782 ;Ótimo;"24,4";10 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;2 ;"1.02- Como você avalia a organização da disciplina no Classroom (clareza, acessibilidade, entendimento)?";5783 ;Bom;"46,3";19 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;2 ;"1.02- Como você avalia a organização da disciplina no Classroom (clareza, acessibilidade, entendimento)?";5784 ;Regular;"14,6";6 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;2 ;"1.02- Como você avalia a organização da disciplina no Classroom (clareza, acessibilidade, entendimento)?";5785 ;Ruim;"7,3";3 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;2 ;"1.02- Como você avalia a organização da disciplina no Classroom (clareza, acessibilidade, entendimento)?";5786 ;Péssimo;"7,3";3 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;3 ;1.03- Como você avalia a clareza e a dinâmica da linguagem utilizada pelo professor nas aulas síncronas?;5788 ;Ótimo;"9,8";4 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;3 ;1.03- Como você avalia a clareza e a dinâmica da linguagem utilizada pelo professor nas aulas síncronas?;5789 ;Bom;"26,8";11 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;3 ;1.03- Como você avalia a clareza e a dinâmica da linguagem utilizada pelo professor nas aulas síncronas?;5790 ;Regular;39;16 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;3 ;1.03- Como você avalia a clareza e a dinâmica da linguagem utilizada pelo professor nas aulas síncronas?;5865 ;Ruim;"14,6";6 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;3 ;1.03- Como você avalia a clareza e a dinâmica da linguagem utilizada pelo professor nas aulas síncronas?;5866 ;Péssimo;"9,8";4 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;4 ;1.04- Como você avalia a coerência entre o conteúdo e a metodologia utilizada no decorrer da disciplina?;5791 ;Ótimo;"7,3";3 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;4 ;1.04- Como você avalia a coerência entre o conteúdo e a metodologia utilizada no decorrer da disciplina?;5792 ;Bom;"29,3";12 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;4 ;1.04- Como você avalia a coerência entre o conteúdo e a metodologia utilizada no decorrer da disciplina?;5793 ;Regular;"43,9";18 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;4 ;1.04- Como você avalia a coerência entre o conteúdo e a metodologia utilizada no decorrer da disciplina?;5868 ;Ruim;"7,3";3 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;4 ;1.04- Como você avalia a coerência entre o conteúdo e a metodologia utilizada no decorrer da disciplina?;5869 ;Péssimo;"12,2";5 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;5 ;1.05- Como você avalia o domínio do professor em relação ao conteúdo da disciplina?;5794 ;Ótimo;"43,9";18 ;41 
Física;174 ;I. Avaliação discente sobre as disciplinas e os docentes;5 ;1.05- Como você avalia o domínio do professor em relação ao conteúdo da disciplina?;5795 ;Bom;"41,5";17 ;41 
