Codigo_Curso,Codigo_MEC,Centro_de_Ensino,Nome_Do_Curso,Matriculados,Ano_Referencia
39,21623,CCE,Estatística,138,2023
16,3411,CCS,Farmácia,310,2020
16,3411,CCS,Farmácia,322,2021
16,3411,CCS,Farmácia,311,2022
16,3411,CCS,Farmácia,291,2023
34,21625,CCH,Filosofia,122,2020
34,21625,CCH,Filosofia,130,2021
34,21625,CCH,Filosofia,122,2022
34,21625,CCH,Filosofia,105,2023
15,303405,CCE,Física,251,2020
15,303405,CCE,Física,235,2021
15,303405,CCE,Física,207,2022
15,303405,CCE,Física,197,2023
57,,EAD,Física ,50,2020
57,,EAD,Física ,95,2021
57,,EAD,Física ,37,2022
57,,EAD,Física ,100,2023
67,5000544,CCE,Física (CRG),26,2020
67,5000544,CCE,Física (CRG),45,2021
67,5000544,CCE,Física (CRG),45,2022
67,5000544,CCE,Física (CRG),52,2023
4,303400,CCH,Geografia,324,2020
4,303400,CCH,Geografia,301,2021
4,303400,CCH,Geografia,268,2022
4,303400,CCH,Geografia,286,2023
5,3399,CCH,História,265,2020
5,3399,CCH,História,278,2021
5,3399,CCH,História,281,2022
5,3399,CCH,História,265,2023
87,,PARFOR,História,0,2020
87,,PARFOR,História,0,2021
87,,PARFOR,História,0,2022
87,,PARFOR,História,20,2023
60,,EAD,História  ,117,2020
60,,EAD,História  ,19,2021
60,,EAD,História  ,12,2022
60,,EAD,História  ,144,2023
63,5000547,CCH,História (CRV),40,2020
63,5000547,CCH,História (CRV),21,2021
63,5000547,CCH,História (CRV),16,2022
63,5000547,CCH,História (CRV),36,2023
31,19392,CTC,Informática,206,2020
31,19392,CTC,Informática,218,2021
31,19392,CTC,Informática,216,2022
31,19392,CTC,Informática,228,2023
3,34677,CCH,Letras,575,2020
3,34677,CCH,Letras,564,2021
3,34677,CCH,Letras,494,2022
3,34677,CCH,Letras,487,2023
59,,EAD,Letras,224,2020
59,,EAD,Letras,322,2021
59,,EAD,Letras,154,2022
59,,EAD,Letras,226,2023
92,3422,CCE,Licenciatura em Ciências Naturais (CRG),2,2021
92,3422,CCE,Licenciatura em Ciências Naturais (CRG),1,2022
92,3422,CCE,Licenciatura em Ciências Naturais (CRG),0,2023
28,3422,CCE,Licenciatura Plena em Ciências,13,2020
28,3422,CCE,Licenciatura Plena em Ciências,6,2021
28,3422,CCE,Licenciatura Plena em Ciências,5,2022
28,3422,CCE,Licenciatura Plena em Ciências,0,2023
7,303407,CCE,Matemática,324,2020
7,303407,CCE,Matemática,287,2021
7,303407,CCE,Matemática,232,2022
7,303407,CCE,Matemática,265,2023
24,3418,CCS,Medicina,247,2020
24,3418,CCS,Medicina,248,2021
24,3418,CCS,Medicina,253,2022
24,3418,CCS,Medicina,218,2023
47,58202,CCA,Medicina Veterinária (CAU),196,2020
47,58202,CCA,Medicina Veterinária (CAU),202,2021
47,58202,CCA,Medicina Veterinária (CAU),195,2022
47,58202,CCA,Medicina Veterinária (CAU),188,2023
44,58242,CTC,Moda,120,2020
44,58242,CTC,Moda,115,2021
44,58242,CTC,Moda,114,2022
44,58242,CTC,Moda,125,2023
42,92105,CCH,Música,117,2020
42,92105,CCH,Música,107,2021
42,92105,CCH,Música,115,2022
42,92105,CCH,Música,130,2023
85,,PARFOR,Música,0,2021
85,,PARFOR,Música,0,2022
85,,PARFOR,Música,16,2023
85,,PARFOR,Música ,0,2020
25,3417,CCS,Odontologia,199,2020
25,3417,CCS,Odontologia,205,2021
25,3417,CCS,Odontologia,202,2022
25,3417,CCS,Odontologia,197,2023
13,3416,CCH,Pedagogia,467,2020
13,3416,CCH,Pedagogia,450,2021
13,3416,CCH,Pedagogia,429,2022
13,3416,CCH,Pedagogia,418,2023
56,,EAD,Pedagogia,579,2020
56,,EAD,Pedagogia,393,2021
56,,EAD,Pedagogia,248,2022
56,,EAD,Pedagogia,378,2023
22,3397,CCH,Pedagogia (CRC),152,2020
22,3397,CCH,Pedagogia (CRC),152,2021
22,3397,CCH,Pedagogia (CRC),144,2022
22,3397,CCH,Pedagogia (CRC),141,2023
79,1165576,CCH,Pedagogia (PARFOR),54,2020
79,1165576,CCH,Pedagogia (PARFOR),47,2021
79,1165576,CCH,Pedagogia (PARFOR),47,2022
79,1165576,CCH,Pedagogia (PARFOR),47,2023
21,3401,CCH,Psicologia,375,2020
21,3401,CCH,Psicologia,402,2021
21,3401,CCH,Psicologia,402,2022
21,3401,CCH,Psicologia,404,2023
6,3406,CCE,Química,314,2020
6,3406,CCE,Química,277,2021
6,3406,CCE,Química,238,2022
6,3406,CCE,Química,236,2023
40,21626,CCH,Secretariado Executivo Trilíngue,136,2020
40,21626,CCH,Secretariado Executivo Trilíngue,141,2021
40,21626,CCH,Secretariado Executivo Trilíngue,137,2022
40,21626,CCH,Secretariado Executivo Trilíngue,136,2023
65,5000548,CCH,Serviço Social (CRV),47,2020
65,5000548,CCH,Serviço Social (CRV),43,2021
65,5000548,CCH,Serviço Social (CRV),41,2022
65,5000548,CCH,Serviço Social (CRV),52,2023
49,58232,CTC,Tecnologia em Alimentos (CAU),65,2020
49,58232,CTC,Tecnologia em Alimentos (CAU),46,2021
49,58232,CTC,Tecnologia em Alimentos (CAU),39,2022
49,58232,CTC,Tecnologia em Alimentos (CAU),42,2023
69,5000545,CCB,Tecnologia em Biotecnologia,125,2020
69,5000545,CCB,Tecnologia em Biotecnologia,110,2021
69,5000545,CCB,Tecnologia em Biotecnologia,0,2022
69,5000545,CCB,Tecnologia em Biotecnologia,0,2023
48,58207,CTC,Tecnologia em Construção Civil (CAU),104,2020
48,58207,CTC,Tecnologia em Construção Civil (CAU),65,2021
48,58207,CTC,Tecnologia em Construção Civil (CAU),38,2022
48,58207,CTC,Tecnologia em Construção Civil (CAU),36,2023
91,,EAD,Tecnologia em Gestão Pública,23,2020
91,,EAD,Tecnologia em Gestão Pública,0,2021
91,,EAD,Tecnologia em Gestão Pública,0,2022
91,,EAD,Tecnologia em Gestão Pública,129,2023
50,58238,CTC,Tecnologia em Meio Ambiente (CAU),28,2020
50,58238,CTC,Tecnologia em Meio Ambiente (CAU),25,2021
50,58238,CTC,Tecnologia em Meio Ambiente (CAU),20,2022
50,58238,CTC,Tecnologia em Meio Ambiente (CAU),41,2023
17,3412,CCA,Zootecnia,349,2020
17,3412,CCA,Zootecnia,327,2021
17,3412,CCA,Zootecnia,323,2022
17,3412,CCA,Zootecnia,302,2023

