"NOME_INSTRUMENTO","ANO_INSTRUMENTO","DATA_INICIO","DATA_FIM","CODIGO_CURSO","NOME_CURSO","CODIGO_GRUPO","NOME_GRUPO","CODIGO_SUBGRUPO","NOME_SUBGRUPO","ORDEM_PERGUNTA","CODIGO_PERGUNTA","PERGUNTA","ORDEM_OPCOES","OPCAO","PORCENTAGEM","RESPOSTAS","TOTAL_DO_CURSO"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","4","1386","2.4- Como você avalia o aprofundamento teórico na grade curricular do seu curso de graduação na UEM?","6371","Excelente","18.5","5","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","4","1386","2.4- Como você avalia o aprofundamento teórico na grade curricular do seu curso de graduação na UEM?","6372","Ótimo","40.7","11","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","4","1386","2.4- Como você avalia o aprofundamento teórico na grade curricular do seu curso de graduação na UEM?","6373","Bom","11.1","3","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","4","1386","2.4- Como você avalia o aprofundamento teórico na grade curricular do seu curso de graduação na UEM?","6374","Regular","22.2","6","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","4","1386","2.4- Como você avalia o aprofundamento teórico na grade curricular do seu curso de graduação na UEM?","6375","Ruim","7.4","2","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","4","1386","2.4- Como você avalia o aprofundamento teórico na grade curricular do seu curso de graduação na UEM?","6377","Péssimo","0.0","0","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","5","1387","2.5- Como você avalia a capacitação técnica e a prática pedagógica dos professores do seu curso de graduação na UEM?","6378","Excelente","14.8","4","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","5","1387","2.5- Como você avalia a capacitação técnica e a prática pedagógica dos professores do seu curso de graduação na UEM?","6379","Ótimo","29.6","8","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","5","1387","2.5- Como você avalia a capacitação técnica e a prática pedagógica dos professores do seu curso de graduação na UEM?","6380","Bom","48.1","13","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","5","1387","2.5- Como você avalia a capacitação técnica e a prática pedagógica dos professores do seu curso de graduação na UEM?","6381","Regular","7.4","2","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","5","1387","2.5- Como você avalia a capacitação técnica e a prática pedagógica dos professores do seu curso de graduação na UEM?","6382","Ruim","0.0","0","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","5","1387","2.5- Como você avalia a capacitação técnica e a prática pedagógica dos professores do seu curso de graduação na UEM?","6383","Péssimo","0.0","0","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","6","1388","2.6- Como você avalia a articulação entre a teoria e a prática do seu curso de graduação na UEM?","6384","Excelente","7.4","2","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","6","1388","2.6- Como você avalia a articulação entre a teoria e a prática do seu curso de graduação na UEM?","6385","Ótimo","14.8","4","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","6","1388","2.6- Como você avalia a articulação entre a teoria e a prática do seu curso de graduação na UEM?","6386","Bom","29.6","8","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","6","1388","2.6- Como você avalia a articulação entre a teoria e a prática do seu curso de graduação na UEM?","6387","Regular","18.5","5","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","6","1388","2.6- Como você avalia a articulação entre a teoria e a prática do seu curso de graduação na UEM?","6388","Ruim","25.9","7","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","6","1388","2.6- Como você avalia a articulação entre a teoria e a prática do seu curso de graduação na UEM?","6389","Péssimo","3.7","1","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","7","1389","2.7- Você considera que os conteúdos específicos oferecidos pelo seu curso de graduação na UEM contribuíram para o seu desempenho profissional?","6051","Sim, muito","25.9","7","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","7","1389","2.7- Você considera que os conteúdos específicos oferecidos pelo seu curso de graduação na UEM contribuíram para o seu desempenho profissional?","6052","Sim, em parte","66.7","18","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","7","1389","2.7- Você considera que os conteúdos específicos oferecidos pelo seu curso de graduação na UEM contribuíram para o seu desempenho profissional?","6053","Não contribuíram","7.4","2","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","7","1389","2.7- Você considera que os conteúdos específicos oferecidos pelo seu curso de graduação na UEM contribuíram para o seu desempenho profissional?","6054","Não sei informar","0.0","0","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","8","1390","2.8- Você considera que a capacidade de relacionar a teoria com a prática oferecida pelo seu curso de graduação na UEM contribuiu para o seu desempenho profissional?","6055","Sim, muito","11.1","3","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","8","1390","2.8- Você considera que a capacidade de relacionar a teoria com a prática oferecida pelo seu curso de graduação na UEM contribuiu para o seu desempenho profissional?","6056","Sim, em parte","63.0","17","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","8","1390","2.8- Você considera que a capacidade de relacionar a teoria com a prática oferecida pelo seu curso de graduação na UEM contribuiu para o seu desempenho profissional?","6057","Não contribuíram","18.5","5","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","8","1390","2.8- Você considera que a capacidade de relacionar a teoria com a prática oferecida pelo seu curso de graduação na UEM contribuiu para o seu desempenho profissional?","6058","Não sei informar","7.4","2","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","9","1391","2.9- Você considera que a busca de informações contextualizadas e atualizadas oferecidas pelo seu curso de graduação na UEM, contribuíram para o seu desempenho profissional?","6059","Sim, muito","22.2","6","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","9","1391","2.9- Você considera que a busca de informações contextualizadas e atualizadas oferecidas pelo seu curso de graduação na UEM, contribuíram para o seu desempenho profissional?","6060","Sim, em parte","59.3","16","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","9","1391","2.9- Você considera que a busca de informações contextualizadas e atualizadas oferecidas pelo seu curso de graduação na UEM, contribuíram para o seu desempenho profissional?","6061","Não contribuíram","18.5","5","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","9","1391","2.9- Você considera que a busca de informações contextualizadas e atualizadas oferecidas pelo seu curso de graduação na UEM, contribuíram para o seu desempenho profissional?","6062","Não sei informar","0.0","0","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","12","1478","2.12- Você recomendaria o curso de graduação que você cursou na UEM para um amigo ou um familiar?","6376","Sim","88.9","24","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","179","II- Formação acadêmica","12","1478","2.12- Você recomendaria o curso de graduação que você cursou na UEM para um amigo ou um familiar?","6392","Não","11.1","3","27"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","1","1393","3.1- Você participou de atividades acadêmicas complementares (AACs) durante a realização do seu curso de graduação na UEM (ex.: monitoria, projetos, PIC/PIBIC, PET, eventos, outros)?","6393","Sim","76.0","19","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","1","1393","3.1- Você participou de atividades acadêmicas complementares (AACs) durante a realização do seu curso de graduação na UEM (ex.: monitoria, projetos, PIC/PIBIC, PET, eventos, outros)?","6394","Não","24.0","6","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","2","1394","3.2- Se você não participou, qual o motivo que levou você a não participar de AACs?","7465","Faltou tempo","4.0","1","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","2","1394","3.2- Se você não participou, qual o motivo que levou você a não participar de AACs?","7466","Faltou oportunidade","8.0","2","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","2","1394","3.2- Se você não participou, qual o motivo que levou você a não participar de AACs?","7467","Faltou recurso","0.0","0","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","2","1394","3.2- Se você não participou, qual o motivo que levou você a não participar de AACs?","7468","Horário incompatível","12.0","3","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","2","1394","3.2- Se você não participou, qual o motivo que levou você a não participar de AACs?","7469","Faltou orientação","8.0","2","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","2","1394","3.2- Se você não participou, qual o motivo que levou você a não participar de AACs?","7470","Participei","68.0","17","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","3","1395","3.3- Se você participou de AACs, qual o motivo que levou você a participar de AACs?","6069","Motivado pelos prof.","12.0","3","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","3","1395","3.3- Se você participou de AACs, qual o motivo que levou você a participar de AACs?","6070","Motivado por colega","8.0","2","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","3","1395","3.3- Se você participou de AACs, qual o motivo que levou você a participar de AACs?","6071","Programas de Bolsas","4.0","1","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","3","1395","3.3- Se você participou de AACs, qual o motivo que levou você a participar de AACs?","6072","Foi obrigatório","16.0","4","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","3","1395","3.3- Se você participou de AACs, qual o motivo que levou você a participar de AACs?","6073","Outro ","4.0","1","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","3","1395","3.3- Se você participou de AACs, qual o motivo que levou você a participar de AACs?","6395","Interesse pessoal","36.0","9","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","3","1395","3.3- Se você participou de AACs, qual o motivo que levou você a participar de AACs?","7471","Não participei","20.0","5","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","4","1396","3.4- As AACs contribuíram para o seu amadurecimento acadêmico e profissional?","6074","Sim","72.0","18","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","4","1396","3.4- As AACs contribuíram para o seu amadurecimento acadêmico e profissional?","6075","Não ","4.0","1","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","4","1396","3.4- As AACs contribuíram para o seu amadurecimento acadêmico e profissional?","6076","Indiferente","24.0","6","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","5","1397","3.5- Você participou de mobilidade acadêmica durante a realização do seu curso de graduação? Comente a respeito.","6079","Sim","12.0","3","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","180","III- Atividades Acadêmicas Complementares","5","1397","3.5- Você participou de mobilidade acadêmica durante a realização do seu curso de graduação? Comente a respeito.","6080","Não","88.0","22","25"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","181","IV- Formação Continuada","1","1409","4.1- Você cursou ou está cursando formação acadêmica depois da sua graduação na UEM (especialização, mestrado, doutorado, pós-doutorado, outra graduação)?","6139","Sim","62.5","15","24"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","181","IV- Formação Continuada","1","1409","4.1- Você cursou ou está cursando formação acadêmica depois da sua graduação na UEM (especialização, mestrado, doutorado, pós-doutorado, outra graduação)?","6140","Não","37.5","9","24"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","182","V- Relacionamento do Egresso com a UEM","1","1421","5.1- Como você avalia as formas de socialização dos conhecimentos produzidos na UEM para a sociedade?","6175","Ruim","0.0","0","23"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","182","V- Relacionamento do Egresso com a UEM","1","1421","5.1- Como você avalia as formas de socialização dos conhecimentos produzidos na UEM para a sociedade?","6176","Péssimo","0.0","0","23"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","182","V- Relacionamento do Egresso com a UEM","1","1421","5.1- Como você avalia as formas de socialização dos conhecimentos produzidos na UEM para a sociedade?","6177","Não sei informar","0.0","0","23"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","182","V- Relacionamento do Egresso com a UEM","1","1421","5.1- Como você avalia as formas de socialização dos conhecimentos produzidos na UEM para a sociedade?","6396","Excelente","26.1","6","23"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","182","V- Relacionamento do Egresso com a UEM","1","1421","5.1- Como você avalia as formas de socialização dos conhecimentos produzidos na UEM para a sociedade?","6397","Ótimo","13.0","3","23"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","182","V- Relacionamento do Egresso com a UEM","1","1421","5.1- Como você avalia as formas de socialização dos conhecimentos produzidos na UEM para a sociedade?","6398","Bom","43.5","10","23"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","182","V- Relacionamento do Egresso com a UEM","1","1421","5.1- Como você avalia as formas de socialização dos conhecimentos produzidos na UEM para a sociedade?","6399","Regular","17.4","4","23"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","182","V- Relacionamento do Egresso com a UEM","2","1422","5.2- Como você avalia a atuação da UEM para a comunidade/sociedade?","6178","Ruim","0.0","0","23"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","182","V- Relacionamento do Egresso com a UEM","2","1422","5.2- Como você avalia a atuação da UEM para a comunidade/sociedade?","6179","Péssimo","0.0","0","23"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","182","V- Relacionamento do Egresso com a UEM","2","1422","5.2- Como você avalia a atuação da UEM para a comunidade/sociedade?","6180","Não sei informar","0.0","0","23"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","182","V- Relacionamento do Egresso com a UEM","2","1422","5.2- Como você avalia a atuação da UEM para a comunidade/sociedade?","6400","Excelente","26.1","6","23"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","182","V- Relacionamento do Egresso com a UEM","2","1422","5.2- Como você avalia a atuação da UEM para a comunidade/sociedade?","6401","Ótimo","43.5","10","23"
"Avaliação pelo Egresso","2021","01/11/2021","31/12/2021","1","CIÊNCIAS ECONÔMICAS           ","44","Indicadores Gerais","182","V- Relacionamento do Egresso com a UEM","2","1422","5.2- Como você avalia a atuação da UEM para a comunidade/sociedade?","6402","Bom","17.4","4","23"
